code,nl
"shutil . copymode ( old path , new path )",call the function shutil.copymode with arguments old_path and new_path .
value = new value,substitute new_value for value .
delta = delta + datetime . timedelta ( seconds = NUM_ ),"call the method datetime.timedelta with an argument seconds set to integer 1 , increment delta by it ."
"handler . endElement ( "" STR_ "" )",call the method handler.endElement with an argument string 'feed ' .
time re = re . compile ( r STR_ r STR_ ),"compile regex from raw string ' ( ? P < hour > \d { 1,2 } ) : ( ? P < minute > \d { 1,2 } ) ( ? : : ( ? P < second > \d { 1,2 } ) ( ? : \. ( ? P < microsecond > \d { 1,6 } ) \d { 0,6 } ) ? ) ? ' ,"
"return quote ( force bytes ( path ) . replace ( b "" STR_ "" / "" STR_ "" / ~ ! * ( ) "" )
","evaluate function force_bytes with path as the argument , replace all of the occurancies of the `` \\ '' with `` / '' in the resulting string ,"
except Exception :,"if Exception exception is caught ,"
return self . get connection ( fail silently ) . send messages ( [ self ] ),"call the method self.get_connection with argument fail_silently , on the result call the method send_messages with one argument : list containing self , return the result ."
"return self .  open ( name , mode )","call the self._open method with name and mode arguments , return the result ."
with connections [ db ] . cursor ( ) as cursor :,"call the cursor method on the value under the db key of connections dictionary , preform following with return value named cursor ,"
class ChoiceInput ( SubWidget ) :,derive the class ChoiceInput from the SubWidget base class .
"if is in stance ( s , Exception ) :","if s is an instance of the subclass Exception ,"
bit = node,substitute node for bit .
return True,return boolean True .
"def in cr ( self , key , delta = NUM_ , version = None ) :","define the method incr with self class instance , key , delta set to integer 1 and version set to None , as arguments ."
"raise TemplateSyntaxError ( "" STR_ "" "" STR_ "" % token . contents )","raise an TemplateSyntaxError exception with an argument string `` 'for ' tag received an invalid argument : % s '' ,"
class FixedOffset ( tzinfo ) :,"`` Use django.utils.timezone instead . `` , RemovedInDjango19Warning and stacklevel set to 2. derive the class FixedOffset from the tzinfo base class ."
in ner result . extend ( res ),extend list inner_result with res .
"def   init   ( self , file = None , name = None , content type = None , size = None , charset = None , content type extra = None ) :","define the method __init__ with 7 arguments : self , file set to None , name set to None , content_type set to None , size set to None , charset set to None and content_type_extra set to None ."
state frame = self .  get context stack frame ( context ),"call the method self._get_context_stack_frame with an argument context , substitute the result for state_frame ."
"def as text ( self , attrs = None , ** kwargs ) :","use it as an argument for the call to the function force_text , return the result . define the method as_text with 3 arguments : self , attrs set to None and unpacked dictionary kwargs ."
if lib :,"if lib is true ,"
if unicodedata . combining ( char ) :,"call the function unicodedata.combining with an argument char , if it evaluates to true ,"
import hashlib,import module hashlib .
"def listdir ( self , path ) :",define the method listdir with arguments self and path .
"def   setitem   ( self , name , val ) :","define the method __setitem__ with arguments self , name and val ."
return { STR_ : timezone . get current timezone name ( ) },return an dictionary containing 1 entry : return value of the function timezone.get_current_timezone_name for 'TIME_ZONE ' .
def http date ( epoch seconds = None ) :,and elements of rfcdate from 12-th to the 25-th index . define the function http_date with an argument epoch_seconds set to None .
else :,"string joined from invalided_apps list and separated with string ' , ' . if not ,"
except AttributeError :,"if AttributeError exception is caught ,"
try :,"try ,"
"def delete ( self , key , version = None ) :","define the method delete with self class instance , key and version set to None as arguments ."
"global  format cache ,  format modules cache",use global variables _format_cache and _format_modules_cache .
context [ self . asvar ] = result,substitute result for value under the self.asvar key of context dictionary .
if model not in app list value :,"if mode is not contained in app_list_value ,"
"elif options [ "" STR_ "" ] . lower ( ) in ( STR_ , STR_ , STR_ ) :","convert the value under the 'daemonize ' key of options dictionary to lowercase , if it equals to string 'false ' , 'no ' or ' f ' ,"
"self . add filters ( logger , filters )",call the method self.add_filters with 2 arguments : logger and filters .
"decorator = Node ( syms . decorator , [ Leaf ( token . AT , "" STR_ "" ) , Name ( STR_ ) ] )","decorator is an instance of class Node , created with 2 arguments : instance of Leaf class created with 2 arguments : token.AT and `` @ ' ,"
continue,skip this loop iteration .
"def ungettext ( singular , plural , number ) :","define the function ungettext with 3 arguments : singular , plural and number ."
else :,"if not ,"
"candidate pat = prefix norm . replace ( % , STR_ ) + result","replace all the occurrences of the ' % ' string for ' % % ' , append result to the previous result , substitute it for candidate_pat ."
"return [ "" "" , "" STR_ "" , "" STR_ "" , "" STR_ "" % table name ]","return the list , containing 4 elements : an empty string , string `` class Meta : '' , string `` managed = False '' ,"
obj pk = field . rel . to .  meta . pk . to python ( n . getAttribute ( STR_ ) ),"call the method n.getAttribute with string 'pk ' as argument , use the result as an argument for the call to the field.rel.to._meta.pk.to_python method , substitute the result for obj_pk ."
data = self . to python ( data ),"call the function self.to_python with an argument data , substitute the result for data ."
"self . startElement ( name , attrs )",cal the method self.startElement with 2 arguments : name and attrs .
def pretty name ( name ) :,define the function pretty_name with an argument name .
return  trans . check for language ( lang code ),"call the function _trans.check_for_language with an argument lang_code , return the result ."
exclude = self .  get validation exclusions ( ),"call the method self._get_validation_exclusions , substitute the result for exclude ."
